Gss year for this respondent                       ,Respondent id number,Labor force status,Number of hours worked last week,Number of hours usually work a week,Ever work as long as one year,R self-emp or works for somebody,Rs census occupation code (1980),Rs industry code   (1980),Rs census occupation code (2010),Number of children,Age of respondent,Highest year of school completed,Rs highest degree,Respondents sex,Race of respondent,Was r born in this country,Number of persons in household,How many in family earned money,Total family income,Respondents income,Total family income,Respondents income,Health -- version y,General happiness,Condition of health,Is life exciting or dull,To work hard,Weeks r. worked last year,Was r's work part-time or full-time?,Satisfaction with financial situation,Opinion of family income,Ever unemployed in last ten yrs,Opinion of how people get ahead,Rs living standard compared to parents,Work arrangement at main job,Time at current job,Usual work schedule,Days per month r work extra hours,How often r works at home,Usual reason r work at home,R has job other than main,Job requires r to learn new things,Job requires r to work fast,R does numerous things on job,R has too much work to do well,R knows what's expected on job,Job allows r use of skills,R proud to work for employer,A lot of freedom to decide how to do job,The job security is good,How fair is what r earn on the job,Income alone is enough,Rs health in general,Days of poor physical health past 30 days,Days of poor mental health past 30 days,Days of activity limitation past 30 days,How often during past month r felt used up,R had back pain in the past 12 months,Trouble sleeping last 12 months,Job satisfaction in general,R work for whom,How often does r find work stressful,Internet access in r's home,The highest degree r have earned,Is r us citizen,Does r own or rent home?,Number in family of r,Respondent socioeconomic index,Year of birth,Ballot used for interview,Occupation code based on o*net,R's socioeconomic index (2010)
2010,1781,Working parttime,60,Not applicable,Not applicable,Self-employed,"Supervisors, n.e.c.",Construction,Operating engineers and other construction equipment  operators,4,62,14,Junior college,Male,White,Yes,5,5,$25000 or more,$20000 - 24999,$60000 to 74999,$20000 to 22499,Not applicable,Not too happy,Good,Dull,Not applicable,20,Full-time,Not at all sat,Below average,Not applicable,Hard work,Not applicable,Independent contractor/consultant/freelance worker,40,Day shift,20,More than once a week,Other combinations and other reasons,No,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Somewhat true,Not at all true,Much less than you deserve,No,Very good,4,1,5,Very often,Yes,Often,Not at all satisfied,Private company,Always,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,49.6,1948,Ballot a,472061,31
2010,1782,Working fulltime,48,Not applicable,Not applicable,Someone else,Slicing and cutting machine operators,Paperboard containers and boxes,Cutting workers,2,38,13,High school,Male,White,Yes,6,2,$25000 or more,$25000 or more,$50000 to 59999,$40000 to 49999,Not applicable,Very happy,Excellent,Routine,4th important,52,Full-time,More or less,Average,No,Hard work,About the same,"Regular, permanent employee",4,Rotating shifts,0,Never,Not applicable,No,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat true,Very true,Somewhat less than you deserve,Yes,Good,10,5,5,Very often,No,Sometimes,Somewhat satisfied,Private company,Sometimes,Yes,Not applicable,Not applicable,Not applicable,1st person,26.4,1972,Ballot c,515023,18.6
2010,1783,Working fulltime,36,Not applicable,Not applicable,Someone else,Miscellaneous material moving equipment operators,Furniture and home furnishings stores,"Laborers and freight, stock, and material movers, hand",3,60,10,High school,Male,Black,No,3,2,$25000 or more,$20000 - 24999,$50000 to 59999,$22500 to 24999,Not applicable,Not too happy,Not applicable,Not applicable,Most important,52,Full-time,Not at all sat,Average,Yes,Not applicable,Much better,"Regular, permanent employee",5,Day shift,0,Never,Not applicable,No,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat true,Somewhat true,Somewhat less than you deserve,No,Very good,0,2,0,Sometimes,No,Often,Somewhat satisfied,Private company,Hardly ever,Not applicable,Not applicable,"A u.s. citizen born in puerto rico, the u.s. virgin islands, or the northern marianas islands",Own or is buying,1st person,31.4,1950,Ballot b,435071,23.3
2010,1784,Working fulltime,82,Not applicable,Not applicable,Someone else,Textile sewing machine operators,Furniture and fixtures,Sewing machine operators,0,45,11,Lt high school,Male,White,Yes,2,1,$10000 - 14999,$5000 to 5999,$10000 to 12499,$5 000 to 5 999,Not applicable,Very happy,Poor,Exciting,Not applicable,20,Full-time,More or less,Below average,Not applicable,Hard work,Not applicable,"Regular, permanent employee",1,Day shift,1,Never,Not applicable,Yes,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Very true,Somewhat true,About as much as you deserve,Yes,Fair,Dont know,No answer,2,Very often,Yes,Often,Very satisfied,Private company,Often,Not applicable,Not applicable,Not applicable,Pays rent,1st person,17.1,1965,Ballot a,516031,13.2
2010,1785,"Unempl, laid off",Not applicable,Not applicable,Not applicable,Someone else,"Supervisors, n.e.c.","Business services, n.e.c.","Managers, all other",3,57,12,High school,Male,White,Yes,3,3,$25000 or more,$25000 or more,$90000 to $109999,$60000 to 74999,Not applicable,Not too happy,Fair,Routine,2nd important,40,Full-time,Not at all sat,Below average,Yes,Hard work,About the same,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Not applicable,Not applicable,Not applicable,1st person,49.6,1953,Ballot c,511011,67.7
2010,1786,Retired,Not applicable,Not applicable,Yes,Someone else,"Grader, dozer, and scraper operators",Construction,Operating engineers and other construction equipment  operators,3,62,0,Lt high school,Male,White,Yes,2,0,Don't know,Not applicable,Don't know,Not applicable,Too little,Pretty happy,Good,Routine,Not applicable,0,Not applicable,Not at all sat,Average,Not applicable,Both equally,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Not applicable,Not applicable,Pays rent,2nd person,28.4,1948,Ballot a,472073,31
2010,1787,Working fulltime,32,Not applicable,Not applicable,Someone else,"Nursing aides, orderlies and attendants",Nursing and personal care facilities,"Nursing, psychiatric, and home health aides",0,40,12,High school,Female,White,Yes,2,1,$20000 - 24999,$20000 - 24999,$20000 to 22499,$20000 to 22499,Too little,Not too happy,Good,Routine,3rd important,52,Full-time,Not at all sat,Far below average,Yes,Hard work,Much better,"Regular, permanent employee",Less than 6 months,Day shift,4,Never,Not applicable,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very true,Very true,Somewhat less than you deserve,No,Good,0,0,0,Often,No,Never,Somewhat satisfied,Non-profit organization,Often,Not applicable,Not applicable,Not applicable,Not applicable,2nd person,29.3,1970,Ballot c,311012,24.2
2010,1788,Retired,Not applicable,Not applicable,Yes,Someone else,Textile sewing machine operators,"Apparel and accessories, except knit",Cutting workers,1,87,11,Lt high school,Female,White,Yes,2,0,Don't know,Not applicable,Don't know,Not applicable,Too little,Pretty happy,Not applicable,Not applicable,Most important,0,Not applicable,More or less,Below average,No,Not applicable,Somewhat worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,17.1,1923,Ballot b,516062,18.6
2010,1789,Retired,Not applicable,Not applicable,Yes,Someone else,"Production inspectors, checkers, and examiners",Knitting mills,Miscellaneous assemblers and fabricators,2,65,12,Lt high school,Female,White,Yes,2,0,$10000 - 14999,Not applicable,$12500 to 14999,Not applicable,Too little,Very happy,Poor,Exciting,4th important,0,Not applicable,More or less,Below average,No,Both equally,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,No,Not applicable,Not applicable,Not applicable,1st person,32,1945,Ballot c,519061,25
2010,1790,Retired,Not applicable,Not applicable,Yes,Someone else,Assemblers,Motor vehicles and motor vehicle equipment,Miscellaneous assemblers and fabricators,Eight or more,89 or older,8,Lt high school,Male,White,Yes,2,0,Refused,Not applicable,Refused,Not applicable,Not applicable,Very happy,Poor,Routine,Not applicable,0,Not applicable,More or less,Average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,26.7,1921,Ballot a,512092,25
2010,1791,Retired,Not applicable,Not applicable,Yes,Someone else,"Mail carriers, postal service",U.s. postal service,Postal service mail carriers,3,62,16,Bachelor,Male,White,Yes,1,1,$15000 - 19999,Not applicable,$15000 to 17499,Not applicable,Too little,Pretty happy,Not applicable,Not applicable,3rd important,0,Not applicable,More or less,Average,No,Not applicable,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,53.9,1948,Ballot b,435052,58.4
2010,1792,Retired,Not applicable,Not applicable,Yes,Someone else,Textile sewing machine operators,"Apparel and accessories, except knit",Sewing machine operators,2,87,8,Lt high school,Female,White,Yes,1,0,Don't know,Not applicable,Don't know,Not applicable,Not applicable,Not too happy,Fair,Routine,Most important,0,Not applicable,More or less,Average,No,Hard work,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,No,Not applicable,Not applicable,Not applicable,1st person,17.1,1923,Ballot c,516031,13.2
2010,1793,Working fulltime,67,Not applicable,Not applicable,Someone else,"Carpenters, except apprentices",Construction,Carpenters,2,29,11,Lt high school,Male,Black,Yes,4,3,$25000 or more,$25000 or more,$60000 to 74999,$25000 to 29999,Not applicable,Pretty happy,Not applicable,Not applicable,2nd important,40,Full-time,Not at all sat,Average,Yes,Not applicable,Much worse,Work for contractor who provides workers/services,2,Day shift,25,Never,Not applicable,No,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,Very true,Very true,Somewhat less than you deserve,Yes,Excellent,0,1,0,Very often,Yes,Often,Very satisfied,Private company,Often,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,34.2,1981,Ballot b,472031.01,28.7
2010,1794,Working fulltime,40,Not applicable,Not applicable,Someone else,"Supervisors, police and detectives","Justice, public order, and safety",First-line supervisors of police and detectives,2,40,14,Junior college,Female,White,Yes,3,1,$25000 or more,$25000 or more,$60000 to 74999,$60000 to 74999,Too much,Pretty happy,Not applicable,Not applicable,2nd important,52,Full-time,More or less,Average,No,Not applicable,Somewhat better,"Regular, permanent employee",20,Day shift,3,Never,Not applicable,No,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Very true,Very true,Somewhat less than you deserve,Yes,Very good,4,10,3,Often,No,Sometimes,Somewhat satisfied,Government or government agency,Sometimes,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,70.5,1970,Ballot b,331012,72.6
2010,1795,Working parttime,26,Not applicable,Not applicable,Someone else,"Teachers, prekindergarten and kindergarten",Religious organizations,Preschool and kindergarten teachers,2,36,13,High school,Female,White,Yes,4,3,$25000 or more,$3000 to 3999,$60000 to 74999,$3 000 to 3 999,Too much,Very happy,Good,Exciting,Not applicable,48,Part-time,More or less,Average,Not applicable,Hard work,Not applicable,"Regular, permanent employee",6-11.9 months,Day shift,0,Never,Not applicable,No,Strongly agree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Very true,Very true,About as much as you deserve,No,Fair,14,0,3,Often,No,Rarely,Very satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,56.6,1974,Ballot a,252011,41.1
2010,1796,Retired,Not applicable,Not applicable,Yes,Someone else,"Electricians, except apprentices",Electric light and power,Electricians,2,61,12,High school,Male,White,Yes,2,2,Refused,Not applicable,Refused,Not applicable,Not applicable,Very happy,Not applicable,Not applicable,2nd important,0,Not applicable,More or less,Average,No,Not applicable,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,44.7,1949,Ballot b,472111,45.4
2010,1797,Other,Not applicable,Not applicable,Yes,Someone else,"Technicians, n.e.c.",Construction,"Heating, air conditioning, and refrigeration mechanics and installers",0,24,12,High school,Male,White,Yes,2,2,$15000 - 19999,$15000 - 19999,$15000 to 17499,$15000 to 17499,Too little,Pretty happy,Fair,Routine,Most important,52,Full-time,More or less,Below average,No,Both equally,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,No,Not applicable,Not applicable,Not applicable,1st person,66.1,1986,Ballot c,499021.01,38.8
2010,1798,Retired,Not applicable,Not applicable,Yes,Someone else,Other financial officers,"Credit agencies, n.e.c.",Credit counselors and loan officers,2,67,12,High school,Female,White,Yes,1,0,$15000 - 19999,Not applicable,$15000 to 17499,Not applicable,Not applicable,Very happy,Fair,Routine,Not applicable,0,Not applicable,Satisfied,Below average,Not applicable,Luck or help,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,67,1943,Ballot a,132072,62.1
2010,1799,Working fulltime,40,Not applicable,Not applicable,Someone else,"Inspectors, testers, and graders",No answer,Radio and telecommunications equipment installers and repairers,0,42,16,Bachelor,Male,White,Yes,2,3,$25000 or more,$25000 or more,$75000 to $89999,$50000 to 59999,About right,Pretty happy,Not applicable,Not applicable,Most important,52,Full-time,Not at all sat,Average,No,Not applicable,Somewhat better,"Regular, permanent employee",7,Day shift,20,About once a month,Worker has to work at home to keep up with job,No,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Very true,Very true,Somewhat less than you deserve,No,Fair,0,0,0,Sometimes,No,Never,Very satisfied,Private company,Often,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,42.2,1968,Ballot b,519061,52.1
2010,1800,School,Not applicable,Not applicable,Yes,Someone else,"Teachers, n.e.c.","Educational services, n.e.c.",Postsecondary teachers,0,54,13,High school,Male,White,Yes,1,1,Refused,Refused,Refused,Refused,Not applicable,Pretty happy,Not applicable,Not applicable,4th important,24,Full-time,More or less,Average,Yes,Not applicable,Somewhat worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,62.5,1956,Ballot b,253099.02,84.5
2010,1801,Working fulltime,47,Not applicable,Not applicable,Someone else,"Sales occupations, other business services",Computer and data processing services,Retail salespersons,1,45,13,High school,Female,White,Yes,3,2,$25000 or more,$25000 or more,$75000 to $89999,$40000 to 49999,Not applicable,Pretty happy,Good,Routine,3rd important,52,Full-time,Satisfied,Average,No,Hard work,Much better,"Regular, permanent employee",14,Day shift,3,About once a month,4,No,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Very true,Somewhat true,About as much as you deserve,No,Good,2,15,0,Often,Yes,Often,Very satisfied,Private company,Often,Not applicable,Not applicable,Not applicable,Not applicable,1st person,61.9,1965,Ballot c,412031,39.7
2010,1802,Working fulltime,50,Not applicable,Not applicable,Self-employed,"Specified mechanics and repairers, n.e.c.","Electrical machinery, equipment, and supplies, n.e.c.","Electric motor, power tool, and related repairers",2,39,12,High school,Male,White,Yes,4,3,$25000 or more,$25000 or more,$60000 to 74999,$40000 to 49999,Too little,Pretty happy,Fair,Routine,Not applicable,52,Full-time,More or less,Far below average,Not applicable,Hard work,Not applicable,Independent contractor/consultant/freelance worker,2,Day shift,20,Never,Not applicable,No,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Very true,Somewhat true,About as much as you deserve,Yes,Fair,0,0,0,Sometimes,No,Sometimes,Somewhat satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,38.1,1971,Ballot a,492094,39.6
2010,1803,Keeping house,Not applicable,Not applicable,Yes,Someone else,Waiters and waitresses,Eating and drinking places,Waiters and waitresses,2,64,12,High school,Female,White,Yes,2,1,$25000 or more,Not applicable,$60000 to 74999,Not applicable,Not applicable,Very happy,Fair,Exciting,Not applicable,0,Not applicable,Satisfied,Average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,32.4,1946,Ballot a,353031,19.6
2010,1804,Keeping house,Not applicable,Not applicable,Yes,Someone else,Teachers' aides,Elementary and secondary schools,Teacher assistants,2,38,14,High school,Female,White,Yes,4,0,Don't know,Not applicable,Don't know,Not applicable,Too little,Pretty happy,Not applicable,Not applicable,Most important,0,Not applicable,More or less,Below average,No,Not applicable,Somewhat worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Other,2nd person,36.9,1972,Ballot b,259041,26.1
2010,1805,Working fulltime,40,Not applicable,Not applicable,Someone else,"Cooks, except short order",Eating and drinking places,Cooks,1,54,11,Lt high school,Male,White,Yes,2,2,$25000 or more,$25000 or more,$35000 to 39999,$30000 to 34999,Not applicable,Very happy,Not applicable,Not applicable,Most important,52,Full-time,More or less,Average,No,Not applicable,Somewhat better,"Regular, permanent employee",32,Day shift,0,Never,Not applicable,No,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Very true,Very true,About as much as you deserve,Yes,Very good,1,0,0,Rarely,No,Never,Very satisfied,Private company,Hardly ever,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,27.5,1956,Ballot b,352014,13.6
2010,1806,"Unempl, laid off",Not applicable,Not applicable,Not applicable,Someone else,Stock handlers and baggers,Miscellaneous retail stores,Stock clerks and order fillers,0,21,12,High school,Male,White,Yes,2,1,Don't know,Not applicable,Don't know,Not applicable,About right,Not too happy,Excellent,Exciting,Most important,0,Not applicable,More or less,Below average,Yes,Hard work,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,No,Not applicable,Not applicable,Not applicable,2nd person,37.6,1989,Ballot c,435081.01,23.8
2010,1807,Working fulltime,40,Not applicable,Not applicable,Someone else,Drafting occupations,"General government, n.e.c.","Surveyors, cartographers, and photogrammetrists",3,37,15,High school,Male,White,Yes,2,2,$25000 or more,$25000 or more,$60000 to 74999,$25000 to 29999,Not applicable,Very happy,Fair,Exciting,Not applicable,52,Full-time,More or less,Average,Not applicable,Hard work,Not applicable,"Regular, permanent employee",14,Day shift,5,Never,Not applicable,No,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat true,Somewhat true,Somewhat more than you deserve,Yes,Fair,0,0,0,Rarely,Yes,Rarely,Very satisfied,Private company,Hardly ever,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,62,1973,Ballot a,171021,77.9
2010,1808,Working fulltime,39,Not applicable,Not applicable,Someone else,Miscellaneous food preparation occupations,Eating and drinking places,Cooks,2,32,12,Lt high school,Female,White,Yes,6,3,$20000 - 24999,$8000 to 9999,$20000 to 22499,$8 000 to 9 999,Too much,Not too happy,Not applicable,Not applicable,2nd important,50,Full-time,More or less,Far above average,No,Not applicable,Somewhat better,"Regular, permanent employee",3,Day shift,1,Never,Not applicable,No,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Somewhat true,Somewhat true,Somewhat less than you deserve,No,Very good,0,0,0,Often,Yes,Never,Somewhat satisfied,Private company,Hardly ever,Not applicable,Not applicable,Not applicable,Own or is buying,3rd person,29,1978,Ballot b,352011,13.6
2010,1809,Working parttime,15,Not applicable,Not applicable,Someone else,"Attendants, amusement and recreation facilities",Miscellaneous entertainment and recreation services,Miscellaneous entertainment attendants and related workers,5,77,12,High school,Female,White,Yes,1,1,$10000 - 14999,$3000 to 3999,$10000 to 12499,$3 000 to 3 999,Too much,Pretty happy,Good,Exciting,Least important,52,Part-time,Satisfied,Below average,No,Don't know,About the same,"On-call, work only when called to work",9,Afternoon shift,0,Never,Not applicable,Yes,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly agree,Somewhat true,Somewhat true,Much less than you deserve,No,Good,0,0,0,Often,No,Sometimes,Somewhat satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Not applicable,1st person,40,1933,Ballot c,353041,29.4
2010,1810,Working fulltime,43,Not applicable,Not applicable,Someone else,Dispatchers,"Electric and gas, and other combinations",Supervisors of transportation and material moving workers,2,53,12,High school,Female,White,Yes,3,1,$25000 or more,$25000 or more,$40000 to 49999,$40000 to 49999,Too little,Very happy,Not applicable,Not applicable,3rd important,52,Full-time,Not at all sat,Below average,No,Not applicable,Much worse,"Regular, permanent employee",4,Day shift,10,Never,Not applicable,No,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat true,Somewhat true,Somewhat less than you deserve,No,Fair,3,0,3,Sometimes,No,Often,Very satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,44.2,1957,Ballot b,435032,46.6
2010,1811,Working fulltime,50,Not applicable,Not applicable,Someone else,"Managers and administrators, n.e.c.",Construction,General and operations managers,3,46,16,Bachelor,Male,White,Yes,3,3,$25000 or more,$25000 or more,$150000 or over,$130000 to $149999,Not applicable,Pretty happy,Excellent,Exciting,2nd important,52,Full-time,More or less,Above average,No,Hard work,Somewhat better,"Regular, permanent employee",10,Day shift,0,About once a month,Worker wants to work at home,No,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Very true,Very true,About as much as you deserve,Yes,Excellent,0,0,0,Rarely,No,Rarely,Very satisfied,Private company,Sometimes,Yes,Bachelor's,Not applicable,Not applicable,1st person,63.5,1964,Ballot c,111021,68.6
2010,1812,Working parttime,30,Not applicable,Not applicable,Self-employed,No answer,No answer,No answer,0,31,12,High school,Female,White,Yes,1,1,$8000 to 9999,Refused,$8 000 to 9 999,Refused,Not applicable,Pretty happy,Not applicable,Not applicable,3rd important,52,Full-time,More or less,Below average,No,Not applicable,Somewhat worse,Independent contractor/consultant/freelance worker,6-11.9 months,Irregular shift/on-call,10,Worker works mainly at home,Other combinations and other reasons,Yes,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Very true,Very true,Somewhat less than you deserve,Yes,Very good,1,2,0,Often,No,Rarely,Very satisfied,Private company,Hardly ever,Not applicable,Not applicable,Not applicable,Other,1st person,-1,1979,Ballot b,372012,-1
2010,1813,Keeping house,Not applicable,Not applicable,Yes,Someone else,"Cooks, except short order",Eating and drinking places,Food service managers,4,48,12,High school,Female,White,Yes,2,3,$25000 or more,$1000 to 2999,$50000 to 59999,$1 000 to 2 999,Too little,Very happy,Not applicable,Not applicable,4th important,8,Full-time,Satisfied,Average,Yes,Not applicable,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,27.5,1962,Ballot b,352014,41
2010,1814,Keeping house,Not applicable,Not applicable,Yes,Someone else,Records clerks,Insurance,Insurance underwriters,2,33,16,Bachelor,Female,White,Yes,4,2,$25000 or more,$6000 to 6999,$90000 to $109999,$6 000 to 6 999,Not applicable,Pretty happy,Excellent,Routine,Most important,52,Part-time,More or less,Above average,Yes,Hard work,About the same,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Bachelor's,Not applicable,Not applicable,1st person,39,1977,Ballot c,232093,66.2
2010,1815,Working fulltime,40,Not applicable,Not applicable,Someone else,Street and door-to-door sales workers,Newspaper publishing and printing,Advertising sales agents,3,54,13,High school,Female,White,Yes,2,2,$25000 or more,$25000 or more,$110000 to $129999,$60000 to 74999,Too much,Not too happy,Good,Routine,Not applicable,52,Full-time,Not at all sat,Below average,Not applicable,Hard work,Not applicable,"Regular, permanent employee",11,Day shift,0,Never,Not applicable,Yes,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Very true,Not too true,About as much as you deserve,Yes,Good,25,5,0,Very often,No,Often,Somewhat satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,37.4,1956,Ballot a,412031,61.5
